official_pinyin,official_Chinese,official_translation,Institution 1,Institution 2,Institution 3
zheng nan zong bing guan,征南總兵官,,地方軍事與治安機構類,地區軍官門,諸號將軍
zheng shu jiang jun,征戍將軍,,地方軍事與治安機構類,地區軍官門,諸號將軍
zheng xi fu jiang jun,征西副將軍,,地方軍事與治安機構類,地區軍官門,諸號將軍
zheng xi jiang jun,征西將軍,,地方軍事與治安機構類,地區軍官門,諸號將軍
zheng xi qian jiang jun,征西前將軍,,地方軍事與治安機構類,地區軍官門,諸號將軍
zheng xi you fu jiang jun,征西右副將軍,,地方軍事與治安機構類,地區軍官門,諸號將軍
zheng xi zuo fu jiang jun,征西左副將軍,,地方軍事與治安機構類,地區軍官門,諸號將軍
zheng yi fu jiang jun,征夷副將軍,,地方軍事與治安機構類,地區軍官門,諸號將軍
zheng yi jiang jun,征夷將軍,,地方軍事與治安機構類,地區軍官門,諸號將軍
zheng yi jiang jun,征彜將軍,,地方軍事與治安機構類,地區軍官門,諸號將軍
liu shou si fu liu shou,留守司副留守,,地方軍事與治安機構類,留守司門,諸留守司
liu shou si zheng liu shou,留守司正留守,,地方軍事與治安機構類,留守司門,諸留守司
liu shou si zhi hui tong zhi,留守司指揮同知,,地方軍事與治安機構類,留守司門,諸留守司
zhong du liu shou si guan du zhi hui qian shi,中都留守司管都指揮僉事,Assistant Commander of the Central Regency,地方軍事與治安機構類,留守司門,諸留守司
tong liu shou shi,同留守使,Associate Commissioner of the Regency,地方軍事與治安機構類,留守司門,
liu shou si duan shi si duan shi,留守司斷事司斷事,,地方軍事與治安機構類,留守司門,
liu shou si duan shi si fu duan shi,留守司斷事司副斷事,,地方軍事與治安機構類,留守司門,
liu shou si jing li si du shi,留守司經歷司都事,,地方軍事與治安機構類,留守司門,
liu shou si jing li si jing li,留守司經歷司經歷,,地方軍事與治安機構類,留守司門,
liu shou si li mu,留守司吏目,,地方軍事與治安機構類,留守司門,
du si du zhi hui qian shi,都司都指揮僉事,Assistant Military Commissioner of a Regional Military Commission,地方軍事與治安機構類,(行)都指揮使司門,諸都司
du si du zhi hui shi,都司都指揮使,Military Commissioner of a Regional Military Commission,地方軍事與治安機構類,(行)都指揮使司門,諸都司
du si du zhi hui tong zhi,都司都指揮同知,Vice Commander of a Regional Military Commission,地方軍事與治安機構類,(行)都指揮使司門,諸都司
du si duan shi,都司斷事,Judge in a Regional Military Commission,地方軍事與治安機構類,(行)都指揮使司門,諸都司
du si qian shu,都司僉書,Notary of the Administrative Assistant in a Regional Military Commission,地方軍事與治安機構類,(行)都指揮使司門,諸都司
du si qian shu guan shi,都司僉書管事,Person In Charge of Notary of the Administrative Assisstant in a Regional Military Commission,地方軍事與治安機構類,(行)都指揮使司門,諸都司
du si zhang yin,都司掌印,Seal-holder of a Regional Military Commission,地方軍事與治安機構類,(行)都指揮使司門,諸都司
du si zhang yin du zhi hui qian shi,都司掌印都指揮僉事,Seal-holding Assistant Military Commissioner of a Regional Military Commission,地方軍事與治安機構類,(行)都指揮使司門,諸都司
du si zhi hui tong zhi,都司指揮同知,Vice Commander of a Regional Military Commission,地方軍事與治安機構類,(行)都指揮使司門,諸都司
du zhi hui qian shi,都指揮僉事,Regional Assistant Military Commissioner,地方軍事與治安機構類,(行)都指揮使司門,諸都司
du zhi hui shi,都指揮使,Regional Military Commissioner,地方軍事與治安機構類,(行)都指揮使司門,諸都司
du zhi hui shi si du zhi hui qian shi,都指揮使司都指揮僉事,Assistant Military Commissioner of a Regional Military Commission,地方軍事與治安機構類,(行)都指揮使司門,諸都司
du zhi hui shi si du zhi hui shi,都指揮使司都指揮使,Military Commissioner of a Regional Military Commission,地方軍事與治安機構類,(行)都指揮使司門,諸都司
du zhi hui shi si du zhi hui tong zhi,都指揮使司都指揮同知,Associate Military Commissioner of a Regional Military Commission,地方軍事與治安機構類,(行)都指揮使司門,諸都司
du zhi hui tong zhi,都指揮同知,Regional Associate Military Commissioner,地方軍事與治安機構類,(行)都指揮使司門,諸都司
du zhi hui tong zhi du zhi hui qian shi,都指揮同知都指揮僉事,Associate Military Commissioner and Assistant Military Commissioner,地方軍事與治安機構類,(行)都指揮使司門,諸都司
guan you ji shi du si,管遊擊事都司,Vice Commander in Charge of the Affairs of a Brigade,地方軍事與治安機構類,(行)都指揮使司門,諸都司
xing du si du zhi hui,行都司都指揮,Acting Military Commissioner of a Regional Military Commission,地方軍事與治安機構類,(行)都指揮使司門,諸都司
xing du si du zhi hui qian shi,行都司都指揮僉事,Acting Assistant Military Commissioner of a Regional Military Commission,地方軍事與治安機構類,(行)都指揮使司門,諸都司
xing du si du zhi hui tong zhi,行都司都指揮同知,Acting Vice Commander of a Regional Military Commission,地方軍事與治安機構類,(行)都指揮使司門,諸都司
xing du si jing li si du shi,行都司經歷司都事,Acting Registrar in a Regional Military Commission,地方軍事與治安機構類,(行)都指揮使司門,諸都司
xing du si shi,行都司事,In Charge of the Affairs of a Regional Military Commission,地方軍事與治安機構類,(行)都指揮使司門,諸都司
xing du si zhang yin,行都司掌印,Acting Seal-holder of a Regional Military Commission,地方軍事與治安機構類,(行)都指揮使司門,諸都司
xing du zhi hui shi,行都指揮使,Acting Regional Military Commissioner,地方軍事與治安機構類,(行)都指揮使司門,諸都司
bing bu du zhi hui shi,兵部都指揮使,Regional Military Commissioner in the Ministry of War,地方軍事與治安機構類,(行)都指揮使司門,諸都司
zhi hui qian shi,指揮僉事,Assistant Commander,地方軍事與治安機構類,(行)都指揮使司門,諸都司
zhi hui shi,指揮使,Commander,地方軍事與治安機構類,(行)都指揮使司門,諸都司
zhi hui tong zhi,指揮同知,Vice Commander,地方軍事與治安機構類,(行)都指揮使司門,諸都司
hu wei fu qian hu,護衛副千戶,Battalion Vice Commander of the Escort Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
mei dong wei zhi hui shi,美東衛指揮使,,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei dai feng du zhi hui qian shi,衛帶俸都指揮僉事,Regional Assistant Military Commissioner of a Guard Receiving Salary,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei dai feng du zhi hui shi,衛帶俸都指揮使,Regional Military Commissioner of a Guard Receiving Salary,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei dai feng zhi hui shi,衛帶俸指揮使,Commander of a Guard Receiving Salary,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei du zhi hui fu shi,衛都指揮副使,Regional Vice Military Commissioner of a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei du zhi hui qian shi,衛都指揮僉事,Regional Assistant Military Commissioner of a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei du zhi hui shi,衛都指揮使,Regional Military Commissioner of a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei du zhi hui tong zhi,衛都指揮同知,Regional Associate Military Commissioner of a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei guan wei shi du du qian shi,衛管衛事都督僉事,Assistant Commissioner-in-chief of a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei jing li,衛經歷,Registrar in a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei qian shu,衛僉書,Notary of the Administrative Assistant in a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei qin jun zhi hui shi,衛親軍指揮使,Commander of the Imperial Armies in a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei qin jun zhi hui shi si qian shi,衛親軍指揮使司僉事,Assistant Administrator of the Military Command of the Imperial Armies in a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei san qi she ren,衛散騎舍人,Drafter of the Cavalier Attendant of a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei ti du,衛提督,Provincial Military Commander of a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei tong zhi,衛同知,Associate Administrator of a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei tu guan du du qian shi,衛土官都督僉事,Aboriginal Assistant Commissioner-in-chief of a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei tu guan du zhi hui qian shi,衛土官都指揮僉事,Aboriginal Regional Assistant Military Commissioner,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei tu guan zhi hui qian shi,衛土官指揮僉事,Aboriginal Assistant Commander of a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei zhen fu,衛鎮撫,Judge in a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei zheng qian hu,衛正千戶,Battalion Principal Commander of a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei zhi hui,衛指揮,Commander of a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei zhi hui fu shi,衛指揮副使,Vice Commander of a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei zhi hui qian shi,衛指揮僉事,Assistant Commander of a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei zhi hui shi,衛指揮使,Commander of a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei zhi hui shi si qian shi,衛指揮使司僉事,Assistant in the Regional Military Commission of a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei zhi hui shi si zhi hui qian shi,衛指揮使司指揮僉事,Assistant Commander in the Military Command of a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei zhi hui tong zhi,衛指揮同知,Vice Commander of a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
wei zhi shi,衛知事,Administrative Clerk in a Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
fu jun qian wei fu qian hu,府軍前衛副千戶,Battalion Vice Commander of the Front Guard of the Prefecture Army,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
fu jun qian wei zhi hui shi,府軍前衛指揮使,Commander of the Front Guard of the Prefecture Army,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
fu jun wei piao qi she ren,府軍衛驃騎舍人,Cavalry Drafter of the Prefecture Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
fu jun wei zhi hui qian shi,府軍衛指揮僉事,Assistant Commander of the Prefecture Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
fu jun wei zhi hui shi,府軍衛指揮使,Commander of the Prefecture Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
fu jun zuo wei qian hu,府軍左衛千戶,Battalion Commander of the Left Guard of the Prefecture Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
shi zhi hui tong zhi,世指揮同知,Associate Commander by Heritage,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
zhen wu wei zhi hui tong zhi,振武衛指揮同知,Vice Commander of the Zhenwu Guard,地方軍事與治安機構類,(行)都指揮使司門,衛指揮使司
bai hu,百戶,Company Commander,地方軍事與治安機構類,(行)都指揮使司門,諸所
guan jun bai hu,管軍百戶,Company Commander Commanding the Troops,地方軍事與治安機構類,(行)都指揮使司門,諸所
guan jun qian hu,管軍千戶,Battalion Commander Commanding the Troops,地方軍事與治安機構類,(行)都指揮使司門,諸所
guan jun zheng qian hu,管軍正千戶,Principal Battalion Commander Commanding the Troops,地方軍事與治安機構類,(行)都指揮使司門,諸所
wei bai hu,衛百戶,Company Commander in a Guard,地方軍事與治安機構類,(行)都指揮使司門,諸所
wei guan jun fu qian hu,衛管軍副千戶,Battalion Vice Commander in a Guard,地方軍事與治安機構類,(行)都指揮使司門,諸所
zong qi,總旗,Plattoon Commander in a Guard,地方軍事與治安機構類,(行)都指揮使司門,諸所
zong qi guan,總旗官,Cavalry Platoon Commander of a Guard,地方軍事與治安機構類,(行)都指揮使司門,諸所
fu qian hu,副千戶,Battalion Vice Commander in a Guard,地方軍事與治安機構類,(行)都指揮使司門,諸所
qian hu,千戶,Battalion Commander in a Guard,地方軍事與治安機構類,(行)都指揮使司門,諸所
qian hu suo li mu,千戶所吏目,Clerk in a Battalion,地方軍事與治安機構類,(行)都指揮使司門,諸所
suo qian hu,所千戶,Battalion Commander,地方軍事與治安機構類,(行)都指揮使司門,諸所
suo zhen fu,所鎮撫,Judge in a Battalion,地方軍事與治安機構類,(行)都指揮使司門,諸所
xiao qi guan,小旗官,,地方軍事與治安機構類,(行)都指揮使司門,諸所
zheng qian hu,正千戶,Battalion Principal Commander,地方軍事與治安機構類,(行)都指揮使司門,諸所
zhong suo bai hu,中所百戶,Company Commander in the Middle Subsection of a Guard,地方軍事與治安機構類,(行)都指揮使司門,諸所
zhong suo fu qian hu,中所副千戶,Battalion Vice Commander in the Middle Subsection of a Guard,地方軍事與治安機構類,(行)都指揮使司門,諸所
zhong zuo suo bai hu,中左所百戶,Company Commander in the Middle-Left Subsection of a Guard,地方軍事與治安機構類,(行)都指揮使司門,諸所
zuo hu wei bai hu,左護衛百戶,Company Commander in the Left Escort Guard,地方軍事與治安機構類,(行)都指揮使司門,諸所
zuo hu wei fu qian hu,左護衛副千戶,Battalion Vice Commander of the Left Escort Guard,地方軍事與治安機構類,(行)都指揮使司門,諸所
zuo suo bai hu,左所百戶,Company Commander in the Left Subsection of a Guard,地方軍事與治安機構類,(行)都指揮使司門,諸所
zuo suo fu qian hu,左所副千戶,Battalion Vice Commander in the Left Subsection of a Guard,地方軍事與治安機構類,(行)都指揮使司門,諸所
zuo suo zheng qian hu,左所正千戶,Battalion Principale Commander in the Left Subsection of a Guard,地方軍事與治安機構類,(行)都指揮使司門,諸所
wan quan du si du zhi hui tong zhi,萬全都司都指揮同知,Regional Vice Commander of the Regional Wanquan Military Commission,地方軍事與治安機構類,(行)都指揮使司門,
wan quan du zhi hui shi si du zhi hui qian shi,萬全都指揮使司都指揮僉事,Regional Assistant Military Commissioner of the Wanquan Military Commission,地方軍事與治安機構類,(行)都指揮使司門,
wan quan du zhi hui shi si du zhi hui shi,萬全都指揮使司都指揮使,Regional Military Commissioner of the Wanquan Military Commission,地方軍事與治安機構類,(行)都指揮使司門,
wei shi suo fu qian hu,衛石所副千戶,Battalion Vice Commander of a Guard,地方軍事與治安機構類,(行)都指揮使司門,
bei zhi min bing can jiang,北直民兵參將,Regional Assistant Commander of the Northern Metro,地方軍事與治安機構類,(行)都指揮使司門,
fan yi du zhi hui shi si,番夷都指揮使司,,地方軍事與治安機構類,番夷都指揮使司門,諸藩夷都司
fan yi du zhi hui shi si cang ku cao chang fu shi,番夷都指揮使司倉庫草場副使,,地方軍事與治安機構類,番夷都指揮使司門,諸藩夷都司
fan yi du zhi hui shi si cang ku da shi,番夷都指揮使司倉庫大使,,地方軍事與治安機構類,番夷都指揮使司門,諸藩夷都司
fan yi du zhi hui shi si cang ku fu shi,番夷都指揮使司倉庫副使,,地方軍事與治安機構類,番夷都指揮使司門,諸藩夷都司
fan yi du zhi hui shi si cao chang da shi,番夷都指揮使司草場大使,,地方軍事與治安機構類,番夷都指揮使司門,諸藩夷都司
fan yi du zhi hui shi si du zhi hui qian shi,番夷都指揮使司都指揮僉事,,地方軍事與治安機構類,番夷都指揮使司門,諸藩夷都司
fan yi du zhi hui shi si du zhi hui shi,番夷都指揮使司都指揮使,,地方軍事與治安機構類,番夷都指揮使司門,諸藩夷都司
fan yi du zhi hui shi si du zhi hui tong zhi,番夷都指揮使司都指揮同知,,地方軍事與治安機構類,番夷都指揮使司門,諸藩夷都司
fan yi du zhi hui shi si duan shi si duan shi,番夷都指揮使司斷事司斷事,,地方軍事與治安機構類,番夷都指揮使司門,諸藩夷都司
fan yi du zhi hui shi si duan shi si fu duan shi,番夷都指揮使司斷事司副斷事,,地方軍事與治安機構類,番夷都指揮使司門,諸藩夷都司
fan yi du zhi hui shi si duan shi si li mu,番夷都指揮使司斷事司吏目,,地方軍事與治安機構類,番夷都指揮使司門,諸藩夷都司
fan yi du zhi hui shi si jing li si du shi,番夷都指揮使司經歷司都事,,地方軍事與治安機構類,番夷都指揮使司門,諸藩夷都司
fan yi du zhi hui shi si jing li si jing li,番夷都指揮使司經歷司經歷,,地方軍事與治安機構類,番夷都指揮使司門,諸藩夷都司
fan yi du zhi hui shi si jing li si li mu,番夷都指揮使司經歷司吏目,,地方軍事與治安機構類,番夷都指揮使司門,諸藩夷都司
fan yi du zhi hui shi si si yu si si yu,番夷都指揮使司司獄司司獄,,地方軍事與治安機構類,番夷都指揮使司門,諸藩夷都司
fan yi wei cang da shi,番夷衞倉大使,,地方軍事與治安機構類,番夷都指揮使司門,番夷衞指揮使司
fan yi wei fu shi,番夷衞副使,,地方軍事與治安機構類,番夷都指揮使司門,番夷衞指揮使司
fan yi wei jing li,番夷衞經歷,,地方軍事與治安機構類,番夷都指揮使司門,番夷衞指揮使司
fan yi wei li mu,番夷衞吏目,,地方軍事與治安機構類,番夷都指揮使司門,番夷衞指揮使司
fan yi wei zhen fu,番夷衞鎮撫,,地方軍事與治安機構類,番夷都指揮使司門,番夷衞指揮使司
fan yi wei zhi hui qian shi,番夷衞指揮僉事,,地方軍事與治安機構類,番夷都指揮使司門,番夷衞指揮使司
fan yi wei zhi hui shi,番夷衞指揮使,,地方軍事與治安機構類,番夷都指揮使司門,番夷衞指揮使司
fan yi wei zhi hui tong zhi,番夷衞指揮同知,,地方軍事與治安機構類,番夷都指揮使司門,番夷衞指揮使司
fan yi wei zhi shi,番夷衞知事,,地方軍事與治安機構類,番夷都指揮使司門,番夷衞指揮使司
fan yi suo bai hu,番夷所百戶,,地方軍事與治安機構類,番夷都指揮使司門,諸所
fan yi suo fu qian hu,番夷所副千戶,,地方軍事與治安機構類,番夷都指揮使司門,諸所
fan yi suo xiao qi guan,番夷所小旗官,,地方軍事與治安機構類,番夷都指揮使司門,諸所
fan yi suo zhen fu,番夷所鎮撫,,地方軍事與治安機構類,番夷都指揮使司門,諸所
fan yi suo zheng qian hu,番夷所正千戶,,地方軍事與治安機構類,番夷都指揮使司門,諸所
fan yi suo zong qi guan,番夷所總旗官,,地方軍事與治安機構類,番夷都指揮使司門,諸所
xing du si tu guan du zhi hui tong zhi,行都司土官都指揮同知,Acting Aboriginal Vice Commander of a Regional Military Commission,地方軍事與治安機構類,番夷都指揮使司門,
xuan wei shi,宣慰使,Commissioner of a Pacification Office,地方軍事與治安機構類,招討經略安撫使門,宣慰使司
xuan wei shi si du shi,宣慰使司都事,Office Manager of a Pacification Office,地方軍事與治安機構類,招討經略安撫使門,宣慰使司
xuan wei shi si fu shi,宣慰使司副使,,地方軍事與治安機構類,招討經略安撫使門,宣慰使司
xuan wei shi si jing li,宣慰使司經歷,Registrar in a Pacification Commission,地方軍事與治安機構類,招討經略安撫使門,宣慰使司
xuan wei shi si qian shi,宣慰使司僉事,Assistant Commissioner of a Pacification Office,地方軍事與治安機構類,招討經略安撫使門,宣慰使司
xuan wei shi si tong zhi,宣慰使司同知,,地方軍事與治安機構類,招討經略安撫使門,宣慰使司
xuan fu si fu shi,宣撫司副使,,地方軍事與治安機構類,招討經略安撫使門,宣撫司
xuan fu si jing li,宣撫使,Commissioner of a Pacification Office,地方軍事與治安機構類,招討經略安撫使門,宣撫司
xuan fu si jing li,宣撫司經歷,Registrar in a Pacification Commission,地方軍事與治安機構類,招討經略安撫使門,宣撫司
xuan fu si qian shi,宣撫司僉事,Assistant Commissioner of a Pacification Office,地方軍事與治安機構類,招討經略安撫使門,宣撫司
xuan fu si tong zhi,宣撫司同知,,地方軍事與治安機構類,招討經略安撫使門,宣撫司
xuan fu si zhao mo,宣撫司照磨,Record Keeper of a Pacification Office,地方軍事與治安機構類,招討經略安撫使門,宣撫司
xuan fu si zhi shi,宣撫司知事,Administrative Clerk of a Pacification Office,地方軍事與治安機構類,招討經略安撫使門,宣撫司
du yuan shuai,都元帥,Commander-in-chief,地方軍事與治安機構類,招討經略安撫使門,宣撫司
an fu shi,安撫使,Commissioner of a Pacification Office,地方軍事與治安機構類,招討經略安撫使門,安撫司
an fu si fu shi,安撫司副使,,地方軍事與治安機構類,招討經略安撫使門,安撫司
an fu si li mu,安撫司吏目,Clerk in a Pacification Office,地方軍事與治安機構類,招討經略安撫使門,安撫司
an fu si qian shi,安撫司僉事,Assistant Commissioner of a Pacification Office,地方軍事與治安機構類,招討經略安撫使門,安撫司
an fu si tong zhi,安撫司同知,,地方軍事與治安機構類,招討經略安撫使門,安撫司
fu zhao tao,副招討,Vice Pacification Commissioner,地方軍事與治安機構類,招討經略安撫使門,招討司
zhao tao shi,招討使,Pacification Commissioner,地方軍事與治安機構類,招討經略安撫使門,招討司
zhao tao si li mu,招討司吏目,Clerk in a Pacification Commission,地方軍事與治安機構類,招討經略安撫使門,招討司
zhang guan ,長官,Chief of a Chief's Office,地方軍事與治安機構類,招討經略安撫使門,長官司
zhang guan si li mu,長官司吏目,,地方軍事與治安機構類,招討經略安撫使門,長官司
fu zhang guan,副長官,,地方軍事與治安機構類,招討經略安撫使門,長官司
man yi guan,蠻夷官 ,Tribal Chief Aboriginal Chiefs' Office,地方軍事與治安機構類,招討經略安撫使門,蠻夷長官司
miao min guan,苗民官,Chief of a Miao Tribe,地方軍事與治安機構類,招討經略安撫使門,蠻夷長官司
fu qian fu zhang,副千夫長,Vice Battalion Commander,地方軍事與治安機構類,招討經略安撫使門,蠻夷長官司
qian fu zhang,千夫長,Battalion Commander,地方軍事與治安機構類,招討經略安撫使門,蠻夷長官司
wang fu hu wei zhi hui qian shi,王府護衞指揮僉事,,地方軍事與治安機構類,王府護衞門,王府護衞指揮使司
wang fu hu wei zhi hui shi,王府護衞指揮使,,地方軍事與治安機構類,王府護衞門,王府護衞指揮使司
wang fu hu wei zhi hui shi si cang da shi,王府護衞指揮使司倉大使,,地方軍事與治安機構類,王府護衞門,王府護衞指揮使司
wang fu hu wei zhi hui shi si cang fu shi,王府護衞指揮使司倉副使,,地方軍事與治安機構類,王府護衞門,王府護衞指揮使司
wang fu hu wei zhi hui shi si jing li,王府護衞指揮使司經歷,,地方軍事與治安機構類,王府護衞門,王府護衞指揮使司
wang fu hu wei zhi hui shi si li mu,王府護衞指揮使司吏目,,地方軍事與治安機構類,王府護衞門,王府護衞指揮使司
wang fu hu wei zhi hui shi si zhen fu,王府護衞指揮使司鎮撫,,地方軍事與治安機構類,王府護衞門,王府護衞指揮使司
wang fu hu wei zhi hui shi si zhi shi,王府護衞指揮使司知事,,地方軍事與治安機構類,王府護衞門,王府護衞指揮使司
wang fu hu wei zhi hui tong zhi,王府護衞指揮同知,,地方軍事與治安機構類,王府護衞門,王府護衞指揮使司
wang fu yi wei si dian zhang,王府儀衞司典仗,,地方軍事與治安機構類,王府護衞門,王府儀衞司
wang fu yi wei si yi wei,王府儀衞司儀衞,,地方軍事與治安機構類,王府護衞門,王府儀衞司
wang fu yi wei si yi wei fu,王府儀衞司儀衞副,,地方軍事與治安機構類,王府護衞門,王府儀衞司
wang fu yi wei si yi wei zheng,王府儀衞司儀衞正,,地方軍事與治安機構類,王府護衞門,王府儀衞司
an ren,安人,,品位性官號類,外命婦門,
fu ren,夫人,Consort,品位性官號類,外命婦門,
gong ren,恭人,,品位性官號類,外命婦門,
mou bo fu ren ,某伯夫人,,品位性官號類,外命婦門,
mou guo fu ren,某國夫人,,品位性官號類,外命婦門,
mou hou fu ren ,某侯夫人,,品位性官號類,外命婦門,
ru ren,孺人,,品位性官號類,外命婦門,
shu ren,淑人,,品位性官號類,外命婦門,
yi pin fu ren,一品夫人,,品位性官號類,外命婦門,
yi ren,宜人,,品位性官號類,外命婦門,
bin guo gong,濱國公,,品位性官號類,封爵門,爵位
bin guo gong,邠國公,,品位性官號類,封爵門,爵位
bing guo gong,苪國公,,品位性官號類,封爵門,爵位
cai guo gong,蔡國公,,品位性官號類,封爵門,爵位
chang ning bo,長寧伯,,品位性官號類,封爵門,爵位
chang xing hou,長興侯,,品位性官號類,封爵門,爵位
cheng wang,郕王,,品位性官號類,封爵門,爵位
cheng yi bo,誠意伯,,品位性官號類,封爵門,爵位
chi ping bo,茌平伯,,品位性官號類,封爵門,爵位
chu yang wang,滁陽王,,品位性官號類,封爵門,爵位
dang kou jiang jun,盪寇將軍,General Who Rocks Bandits,品位性官號類,封爵門,爵位
e guo gong,鄂國公,,品位性官號類,封爵門,爵位
feng cheng hou,豐城侯,,品位性官號類,封爵門,爵位
feng guo gong,豐國公,,品位性官號類,封爵門,爵位
feng run bo,豐潤伯,,品位性官號類,封爵門,爵位
feng run hou,豐潤侯,,品位性官號類,封爵門,爵位
feng xiang hou,鳳翔侯,,品位性官號類,封爵門,爵位
fu guo gong,輔國公,,品位性官號類,封爵門,爵位
gao ping bo,高平伯,,品位性官號類,封爵門,爵位
gao yang bo,高陽伯,,品位性官號類,封爵門,爵位
gao yang wang,高陽王,,品位性官號類,封爵門,爵位
gong chang hou,鞏昌侯,,品位性官號類,封爵門,爵位
guo guo gong,虢國公,,品位性官號類,封爵門,爵位
han guo gong,韓國公,,品位性官號類,封爵門,爵位
han zhong wang ,漢中王,,品位性官號類,封爵門,爵位
hang hai hou,航海侯,,品位性官號類,封爵門,爵位
he qing hou,鶴慶侯,,品位性官號類,封爵門,爵位
he yang an xi wang,郃陽安僖王,,品位性官號類,封爵門,爵位
he yang dao an wang,郃陽悼安王,,品位性官號類,封爵門,爵位
he yang hui gong wang,郃陽惠恭王,,品位性官號類,封爵門,爵位
he yang wen mu wang,郃陽溫穆王,,品位性官號類,封爵門,爵位
huai an hou,淮安侯,,品位性官號類,封爵門,爵位
ji guo gong,濟國公,,品位性官號類,封爵門,爵位
ji ning hou,濟寧侯,,品位性官號類,封爵門,爵位
ji wang,薊王,,品位性官號類,封爵門,爵位
jian wang,簡王,,品位性官號類,封爵門,爵位
jin shan hou,金山侯,,品位性官號類,封爵門,爵位
jin xiang hou,金鄉侯,,品位性官號類,封爵門,爵位
jin yun jun bo,縉雲郡伯,,品位性官號類,封爵門,爵位
jing an bo,靖安伯,,品位性官號類,封爵門,爵位
jing an hou,靖安侯,,品位性官號類,封爵門,爵位
jing guo gong,靖國公,,品位性官號類,封爵門,爵位
jing hai hou,靖海侯,,品位性官號類,封爵門,爵位
jing le wang,靜樂王,,品位性官號類,封爵門,爵位
jing nan bo,靖南伯,,品位性官號類,封爵門,爵位
jing ning hou,靖寧侯,,品位性官號類,封爵門,爵位
jing wang,靖王,,品位性官號類,封爵門,爵位
jing yuan bo,靖遠伯,,品位性官號類,封爵門,爵位
jing yuan hou,靖遠侯,,品位性官號類,封爵門,爵位
ju guo gong,莒國公,,品位性官號類,封爵門,爵位
ju lu hou,鉅鹿侯,,品位性官號類,封爵門,爵位
jun gong,郡公,,品位性官號類,封爵門,爵位
jun wang,郡王,,品位性官號類,封爵門,爵位
kai guo gong,開國公,,品位性官號類,封爵門,爵位
kai ping wang,開平王,,品位性官號類,封爵門,爵位
lai guo gong,淶國公,,品位性官號類,封爵門,爵位
lai yang bo,萊陽伯,,品位性官號類,封爵門,爵位
lan tian wang,藍田王,,品位性官號類,封爵門,爵位
li yang bo,溧陽伯,,品位性官號類,封爵門,爵位
lin chuan hou,臨川侯,,品位性官號類,封爵門,爵位
lin jiang hou,臨江侯,,品位性官號類,封爵門,爵位
lin tong he xi wang,臨潼和僖王,,品位性官號類,封爵門,爵位
lin tong hui jian wang,臨潼惠簡王,,品位性官號類,封爵門,爵位
lin tong wang,臨潼王,,品位性官號類,封爵門,爵位
lin wu bo,臨武伯,,品位性官號類,封爵門,爵位
lin zhang bo,臨漳伯,,品位性官號類,封爵門,爵位
ling qiu wang,靈丘王,,品位性官號類,封爵門,爵位
long de wang,隆德王,,品位性官號類,封爵門,爵位
long ping hou,隆平侯,,品位性官號類,封爵門,爵位
